name,url,abbr,source,,,
Canadian Dairy Commission,https://cdc-ccl.ca/en/node/672,CDC,canada.ca/dept.html,,,
Canada Energy Regulator,https://www.cer-rec.gc.ca/index-eng.html,CER,canada.ca/dept.html,,,
Chief Accessibility Officer (Office of the),https://www.canada.ca/en/employment-social-development/corporate/office-chief-accessibility-officer.html,OCAO,canada.ca/dept.html,,,
Impact Assessment Agency of Canada,https://www.canada.ca/en/impact-assessment-agency.html,IAAC,canada.ca/dept.html,,,
Canadian Food Inspection Agency,https://inspection.canada.ca/en,CFIA,canada.ca/dept.html,,,
Canadian Forces Housing Agency,https://www.canada.ca/en/department-national-defence/services/benefits-military/military-housing.html,CFHA,canada.ca/dept.html,,,
Canadian Grain Commission,https://www.grainscanada.gc.ca/en/,CGC,canada.ca/dept.html,,,
Canadian Heritage,https://www.canada.ca/en/canadian-heritage.html,PCH,canada.ca/dept.html,,,
Canadian Heritage Information Network,https://www.canada.ca/en/heritage-information-network.html,CHIN,canada.ca/dept.html,,,
Canadian Human Rights Commission,https://www.chrc-ccdp.gc.ca/,CHRC,canada.ca/dept.html,,,
Canadian Institutes of Health Research,https://www.cihr-irsc.gc.ca/e/193.html,CIHR,canada.ca/dept.html,,,
Canadian Intellectual Property Office,https://ised-isde.canada.ca/site/canadian-intellectual-property-office/en,CIPO,canada.ca/dept.html,,,
Canadian Intergovernmental Conference Secretariat,http://www.scics.ca/en/,CICS,canada.ca/dept.html,,,
Canadian International Trade Tribunal,https://www.citt-tcce.gc.ca/en/home.html,CITT,canada.ca/dept.html,,,
Canadian Judicial Council,https://cjc-ccm.ca/en,CJC,canada.ca/dept.html,,,
Canadian Museum for Human Rights,https://humanrights.ca/,CMHR,canada.ca/dept.html,,,
Canadian Museum of History,http://www.historymuseum.ca/,CMH,canada.ca/dept.html,,,
Canadian Museum of Immigration at Pier 21,http://www.pier21.ca/home,CMIP,canada.ca/dept.html,,,
Canadian Museum of Nature,http://nature.ca/en/home,CMN,canada.ca/dept.html,,,
Canadian Northern Economic Development Agency,http://www.cannor.gc.ca/eng/1351104567432/1351104589057,CanNor,canada.ca/dept.html,,,
Canadian Nuclear Safety Commission,http://www.nuclearsafety.gc.ca/eng/,CNSC,canada.ca/dept.html,,,
Canadian Pari-Mutuel Agency,https://agriculture.canada.ca/en/department/partners-agencies/canadian-pari-mutuel,CPMA,canada.ca/dept.html,,,
Canadian Police College,https://www.cpc-ccp.gc.ca/index-eng.htm,CPC,canada.ca/dept.html,,,
Canadian Race Relations Foundation,http://www.crrf-fcrr.ca/en/,CRRF,canada.ca/dept.html,,,
Canadian Radio-Television and Telecommunications Commission,http://www.crtc.gc.ca/eng/home-accueil.htm,CRTC,canada.ca/dept.html,,,
Canadian Security Intelligence Service,https://www.canada.ca/en/security-intelligence-service.html,CSIS,canada.ca/dept.html,,,
Canadian Space Agency,https://www.asc-csa.gc.ca/eng/,CSA,canada.ca/dept.html,,,
Canadian Special Operations Forces Command,https://www.canada.ca/en/special-operations-forces-command.html,CANSOFCOM,canada.ca/dept.html,,,
Destination Canada,https://www.destinationcanada.com/en,DC,canada.ca/dept.html,,,
Canadian Trade Commissioner Service,https://www.tradecommissioner.gc.ca/en.html,TCS,canada.ca/dept.html,,,
Canadian Transportation Agency,https://www.canada.ca/en/transportation-agency.html,CTA,canada.ca/dept.html,,,
Canadian War Museum,http://www.warmuseum.ca/,,canada.ca/dept.html,,,
CBC/Radio-Canada,http://www.cbc.radio-canada.ca/en/,CBC,canada.ca/dept.html,,,
Civilian Review and Complaints Commission for the RCMP,https://www.crcc-ccetp.gc.ca/en,CRCC,canada.ca/dept.html,,,
Commissioner for Federal Judicial Affairs Canada (Office of the),http://www.fja.gc.ca/home-accueil/index-eng.html,FJA,canada.ca/dept.html,,,
Commissioner of Lobbying of Canada (Office of the),https://lobbycanada.gc.ca/en/,OCL,canada.ca/dept.html,,,
Commissioner of Official Languages (Office of the),https://www.clo-ocol.gc.ca/en,OCOL,canada.ca/dept.html,,,
Communications Research Centre Canada,https://ised-isde.canada.ca/site/communications-research-centre-canada/en,CRC,canada.ca/dept.html,,,
Communications Security Establishment Canada,https://www.cse-cst.gc.ca/en,CSE,canada.ca/dept.html,,,
Competition Bureau Canada,https://competition-bureau.canada.ca/,COBU,canada.ca/dept.html,,,
Competition Tribunal,https://www.ct-tc.gc.ca/en/home.html,,canada.ca/dept.html,,,
Conflict of Interest and Ethics Commissioner (Office of the),https://ciec-ccie.parl.gc.ca/EN/Pages/default.aspx,OCIEC,canada.ca/dept.html,,,
Copyright Board Canada,https://www.cb-cda.gc.ca/en,CB,canada.ca/dept.html,,,
CORCAN,https://www.canada.ca/en/correctional-service/programs/corcan.html,,canada.ca/dept.html,,,
Correctional Investigator (Office of the),https://oci-bec.gc.ca/en,OCI,canada.ca/dept.html,,,
Correctional Service Canada,https://www.canada.ca/en/correctional-service.html,CSC,canada.ca/dept.html,,,
Courts Administration Service,http://www.cas-satj.gc.ca/en/home.shtml,CAS,canada.ca/dept.html,,,
Court Martial Appeal Court of Canada,https://www.cmac-cacm.ca/en/home,CMAC,canada.ca/dept.html,,,
Crown-Indigenous Relations and Northern Affairs Canada,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs.html,CIRNAC,canada.ca/dept.html,,,
Bank of Canada Museum,http://www.bankofcanadamuseum.ca/,,canada.ca/dept.html,,,
Defence Construction Canada,https://www.dcc-cdc.gc.ca/,DCC,canada.ca/dept.html,,,
Defence Investment Agency,https://www.canada.ca/en/defence-investment-agency.html,DIA,canada.ca/dept.html,,,
Defence Research and Development Canada,https://www.canada.ca/en/defence-research-development.html,DRDC,canada.ca/dept.html,,,
Democratic Institutions,https://www.canada.ca/en/democratic-institutions.html,,canada.ca/dept.html,,,
Digital Museums Canada,https://www.digitalmuseums.ca/,DMC,canada.ca/dept.html,,,
Environmental Protection Tribunal of Canada,https://www.eptc-tpec.gc.ca/en/index.html,EPTC,canada.ca/dept.html,,,
Elections Canada,http://www.elections.ca/home.aspx,Elections,canada.ca/dept.html,,,
Employment and Social Development Canada,https://www.canada.ca/en/employment-social-development.html,ESDC,canada.ca/dept.html,,,
Environment and Climate Change Canada,https://www.canada.ca/en/environment-climate-change.html,ECCC,canada.ca/dept.html,,,
Environmental Protection Review Canada,https://www.canada.ca/en/environment-climate-change/services/canadian-environmental-protection-act-registry/review.html,EPRC,canada.ca/dept.html,,,
Export Development Canada,https://www.edc.ca/,EDC,canada.ca/dept.html,,,
Farm Credit Canada,https://www.fcc-fac.ca/en.html,FCC,canada.ca/dept.html,,,
Farm Products Council of Canada,https://www.canada.ca/en/farm-products-council.html,FPCC,canada.ca/dept.html,,,
Federal Bridge Corporation,http://www.federalbridge.ca/,FBCL,canada.ca/dept.html,,,
Federal Court of Appeal,https://www.fca-caf.ca/en/home,FCA,canada.ca/dept.html,,,
Federal Court of Canada,https://www.fct-cf.gc.ca/en/home,FC,canada.ca/dept.html,,,
Federal Economic Development Agency for Southern Ontario,https://feddev-ontario.canada.ca/en,FedDev Ontario,canada.ca/dept.html,,,
Federal Ombudsperson for Victims Of Crime (Office of the),https://www.canada.ca/en/office-federal-ombudsperson-victims-crime.html,OFOVC,canada.ca/dept.html,,,
Federal Economic Development Agency for Northern Ontario,https://fednor.canada.ca/en,FedNor,canada.ca/dept.html,,,
Finance Canada (Department of),https://www.canada.ca/en/department-finance.html,FIN,canada.ca/dept.html,,,
Financial Consumer Agency of Canada,https://www.canada.ca/en/financial-consumer-agency.html,FCAC,canada.ca/dept.html,,,
Financial Transactions and Reports Analysis Centre of Canada,https://fintrac-canafe.canada.ca/intro-eng,FINTRAC,canada.ca/dept.html,,,
Fisheries and Oceans Canada,http://www.dfo-mpo.gc.ca/index-eng.htm,DFO,canada.ca/dept.html,,,
Freshwater Fish Marketing Corporation,http://www.freshwaterfish.com/,FFMC,canada.ca/dept.html,,,
Global Affairs Canada,https://international.canada.ca/en/global-affairs,GAC,canada.ca/dept.html,,,
Governor General of Canada,https://www.gg.ca/en/,OSGG,canada.ca/dept.html,,,
Great Lakes Pilotage Authority Canada,https://www.glpa-apgl.com/,GLPA,canada.ca/dept.html,,,
Health Canada,https://www.canada.ca/en/health-canada.html,HC,canada.ca/dept.html,,,
Historic Sites and Monuments Board of Canada,https://parks.canada.ca/culture/designation,HSMBC,canada.ca/dept.html,,,
Canadian Human Rights Tribunal,https://www.chrt-tcdp.gc.ca/en,CHRT,canada.ca/dept.html,,,
Intelligence Commissoner (Office of the),https://www.canada.ca/en/intelligence-commissioner.html,,canada.ca/dept.html,,,
Immigration and Refugee Board of Canada,https://www.canada.ca/en/immigration-refugee.html,IRB,canada.ca/dept.html,,,
"Immigration, Refugees and Citizenship Canada",https://www.canada.ca/en/immigration-refugees-citizenship.html?_ga=2.154721784.1999166723.1511794548-2057276988.1508789311,IRCC,canada.ca/dept.html,,,
Impact Canada,https://impact.canada.ca/en,,canada.ca/dept.html,,,
Independent Review Panel for Defence Acquisition,https://www.canada.ca/en/independent-review-panel-defence-acquisition.html,IRPDA,canada.ca/dept.html,,,
Indian Oil and Gas Canada,http://www.pgic-iogc.gc.ca/eng/1100110010002/1100110010005,,canada.ca/dept.html,,,
Indigenous Services Canada,https://www.canada.ca/en/indigenous-services-canada.html,ISC,canada.ca/dept.html,,,
Industrial Technologies Office,https://ised-isde.canada.ca/site/industrial-technologies-office/en,ITO,canada.ca/dept.html,,,
Information Commissioner (Office of the),https://www.oic-ci.gc.ca/en,OIC,canada.ca/dept.html,,,
"Housing, Infrastructure and Communities Canada",https://housing-infrastructure.canada.ca/index-eng.html,HICC,canada.ca/dept.html,,,
"Innovation, Science and Economic Development Canada",https://ised-isde.canada.ca/site/ised/en,ISED,canada.ca/dept.html,,,
Intergovernmental Affairs,https://www.canada.ca/en/intergovernmental-affairs.html,IGA,canada.ca/dept.html,,,
International Development Research Centre,https://idrc-crdi.ca/en,IDRC,canada.ca/dept.html,,,
Jacques Cartier and Champlain Bridges,https://jacquescartierchamplain.ca/en/,JCCBI,canada.ca/dept.html,,,
Judicial Compensation and Benefits Commission,http://quadcom.gc.ca/pg_JcJc_QC_01-eng.php,,canada.ca/dept.html,,,
Justice Canada (Department of),https://www.justice.gc.ca/eng/,JUS,canada.ca/dept.html,,,
Labour Program,https://www.canada.ca/en/employment-social-development/corporate/portfolio/labour.html,,canada.ca/dept.html,,,
Laurentian Pilotage Authority Canada,http://www.pilotagestlaurent.gc.ca/en/index.html,LPA,canada.ca/dept.html,,,
Law Commission of Canada,https://www.canada.ca/en/law-commission-canada.html,LCC,canada.ca/dept.html,,,
Leader of the Government in the House of Commons,https://www.canada.ca/en/leader-government-house-commons.html,,canada.ca/dept.html,,,
Library and Archives Canada,https://www.canada.ca/en/library-archives.html,LAC,canada.ca/dept.html,,,
Management Advisory Board for the RCMP,https://www.canada.ca/en/management-advisory-board-rcmp.html,MAB,canada.ca/dept.html,,,
Marine Atlantic,http://www.marineatlantic.ca/en/,MarineAtlantic,canada.ca/dept.html,,,
Measurement Canada,https://ised-isde.canada.ca/site/measurement-canada/en,MC,canada.ca/dept.html,,,
Military Grievances External Review Committee,https://www.canada.ca/en/military-grievances-external-review.html,MGERC,canada.ca/dept.html,,,
Military Police Complaints Commission of Canada,https://www.canada.ca/en/military-police-complaints.html,MPCC,canada.ca/dept.html,,,
National Arts Centre,http://nac-cna.ca/en/,NAC,canada.ca/dept.html,,,
National Battlefields Commission,https://www.canada.ca/en/national-battlefields-commission.html,NBC,canada.ca/dept.html,,,
National Capital Commission,http://www.ncc-ccn.gc.ca/,NCC,canada.ca/dept.html,,,
National Defence,https://www.canada.ca/en/department-national-defence.html,DND,canada.ca/dept.html,,,
National Security and Intelligence Review Agency,https://nsira-ossnr.gc.ca/en/home/,NSIRA,canada.ca/dept.html,,,
Ombudsman for the Department of National Defence and the Canadian Armed Forces (Office of the),https://www.canada.ca/en/ombudsman-national-defence-forces.html,,canada.ca/dept.html,,,
National Film Board,https://www.canada.ca/en/national-film-board.html,NFB,canada.ca/dept.html,,,
National Gallery of Canada,http://www.gallery.ca/,NGC,canada.ca/dept.html,,,
Canada Science and Technology Museum,https://ingeniumcanada.org/scitech,,canada.ca/dept.html,,,
National Research Council Canada,https://nrc.canada.ca/en,NRC,canada.ca/dept.html,,,
Natural Resources Canada,https://natural-resources.canada.ca/home,NRCan,canada.ca/dept.html,,,
National Seniors Council,https://www.canada.ca/en/national-seniors-council.html,,canada.ca/dept.html,,,
Natural Sciences and Engineering Research Canada,https://www.nserc-crsng.gc.ca/index_eng.asp,NSERC,canada.ca/dept.html,,,
Northern Pipeline Agency Canada,https://www.canada.ca/en/northern-pipeline-agency.html,NPA,canada.ca/dept.html,,,
Occupational Health and Safety Tribunal Canada,https://www.canada.ca/en/occupational-health-and-safety-tribunal-canada.html,OHSTC,canada.ca/dept.html,,,
Chief Military Judge (Office of the),https://www.canada.ca/en/chief-military-judge.html,OCMJ,canada.ca/dept.html,,,
Pacific Economic Development Canada,https://www.canada.ca/en/pacific-economic-development.html,PacifiCan,canada.ca/dept.html,,,
Pacific Pilotage Authority Canada,https://ppa.gc.ca/,PPA,canada.ca/dept.html,,,
Parks Canada,https://parks.canada.ca/index,PC,canada.ca/dept.html,,,
Parole Board of Canada,https://www.canada.ca/en/parole-board.html,PBC,canada.ca/dept.html,,,
Parliament of Canada,http://www.parl.ca/?Language=E,,canada.ca/dept.html,,,
Passport Program,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports.html,PASSPORT,canada.ca/dept.html,,,
Patented Medicine Prices Review Board Canada,https://www.canada.ca/en/patented-medicine-prices-review.html,PMPRB,canada.ca/dept.html,,,
Polar Knowledge Canada,https://www.canada.ca/en/polar-knowledge.html,POLAR,canada.ca/dept.html,,,
Prairies Economic Development Canada,https://www.canada.ca/en/prairies-economic-development.html,PrairiesCan,canada.ca/dept.html,,,
Prime Minister of Canada,http://pm.gc.ca/eng,,canada.ca/dept.html,,,
Privacy Commissioner of Canada (Office of the),https://www.priv.gc.ca/en/,OPC,canada.ca/dept.html,,,
Privy Council Office,https://www.canada.ca/en/privy-council.html,PCO,canada.ca/dept.html,,,
Procurement Ombud (Office of the),https://www.canada.ca/en/procurement-ombudsman.html,OPO,canada.ca/dept.html,,,
Public Health Agency of Canada,https://www.canada.ca/en/public-health.html,PHAC,canada.ca/dept.html,,,
Public Prosecution Service of Canada,http://www.ppsc-sppc.gc.ca/eng/index.html,PPSC,canada.ca/dept.html,,,
Public Safety Canada,https://www.publicsafety.gc.ca/index-en.aspx,PS,canada.ca/dept.html,,,
Public Sector Integrity Commissioner of Canada (Office of the),https://psic-ispc.gc.ca/,PSIC,canada.ca/dept.html,,,
Public Sector Pension Investment Board,https://www.investpsp.com/en/,PSP Investments,canada.ca/dept.html,,,
Public Servants Disclosure Protection Tribunal Canada,https://www.psdpt-tpfd.gc.ca/home-en.html,PSDPTC,canada.ca/dept.html,,,
Public Service Commission of Canada,https://www.canada.ca/en/public-service-commission.html,PSC,canada.ca/dept.html,,,
Public Service Labour Relations and Employment Board,https://pslreb-crtefp.gc.ca/en/,PSLREB,canada.ca/dept.html,,,
Public Services and Procurement Canada,https://www.canada.ca/en/public-services-procurement.html,PSPC,canada.ca/dept.html,,,
Registry of the Specific Claims Tribunal of Canada,https://www.sct-trp.ca/,SCT,canada.ca/dept.html,,,
Royal Canadian Air Force,https://www.canada.ca/en/air-force.html,RCAF,canada.ca/dept.html,,,
Royal Canadian Mint,https://www.mint.ca/en,Mint,canada.ca/dept.html,,,
Royal Canadian Mounted Police,https://rcmp.ca/en,RCMP,canada.ca/dept.html,,,
Royal Canadian Mounted Police External Review Committee,https://www.canada.ca/en/rcmp-external-review-committee.html,ERC,canada.ca/dept.html,,,
Royal Canadian Navy,https://www.canada.ca/en/navy.html,RCN,canada.ca/dept.html,,,
Royal Military College of Canada,https://www.rmc-cmr.ca/en,RMCC,canada.ca/dept.html,,,
Secretariat of the National Security and Intelligence Committee of Parliamentarians,https://www.canada.ca/en/secretariat-national-security-intelligence-committee-parliamentarians.html,NSICOP,canada.ca/dept.html,,,
Service Canada,https://www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html,ServCan,canada.ca/dept.html,,,
Shared Services Canada,https://www.canada.ca/en/shared-services.html,SSC,canada.ca/dept.html,,,
Social Sciences and Humanities Research Council of Canada,https://www.sshrc-crsh.gc.ca/home-accueil-eng.aspx,SSHRC,canada.ca/dept.html,,,
Social Security Tribunal of Canada,https://sst-tss.gc.ca/en,SST,canada.ca/dept.html,,,
Standards Council of Canada,https://scc-ccn.ca/,SCC-CCN,canada.ca/dept.html,,,
Statistics Canada,https://www.statcan.gc.ca/eng/start,StatCan,canada.ca/dept.html,,,
Women and Gender Equality Canada,https://www.canada.ca/en/women-gender-equality.html,WAGE,canada.ca/dept.html,,,
Superintendent of Bankruptcy Canada (Office of the),https://ised-isde.canada.ca/site/office-superintendent-bankruptcy/en,OSB,canada.ca/dept.html,,,
Superintendent of Financial Institutions Canada (Office of the),https://www.osfi-bsif.gc.ca/en,OSFI,canada.ca/dept.html,,,
Supreme Court of Canada,http://www.scc-csc.ca/home-accueil/index-eng.aspx,SCC,canada.ca/dept.html,,,
Tax Court of Canada,https://www.tcc-cci.gc.ca/en/home,TCC,canada.ca/dept.html,,,
Taxpayers' Ombudsperson (Office of the),https://www.canada.ca/en/taxpayers-ombudsperson.html,OTO,canada.ca/dept.html,,,
Telefilm Canada,http://www.telefilm.ca/en/?q=en,,canada.ca/dept.html,,,
Translation Bureau,https://www.canada.ca/en/translation-bureau.html,,canada.ca/dept.html,,,
Transport Canada,https://tc.canada.ca/en,TC,canada.ca/dept.html,,,
Transportation Appeal Tribunal of Canada,https://www.tatc.gc.ca/en/home.html,TATC,canada.ca/dept.html,,,
Transportation Safety Board of Canada,https://www.canada.ca/en/transportation-safety-board.html,TSB,canada.ca/dept.html,,,
Treasury Board of Canada Secretariat,https://www.canada.ca/en/treasury-board-secretariat.html,TBS,canada.ca/dept.html,,,
Veterans Affairs Canada,https://www.veterans.gc.ca/eng,VAC,canada.ca/dept.html,,,
Veterans' Ombudsman (Office of the),https://ombudsman-veterans.gc.ca/en,,canada.ca/dept.html,,,
Veterans Review and Appeal Board,https://vrab-tacra.gc.ca/en,VRAB,canada.ca/dept.html,,,
VIA Rail Canada,http://www.viarail.ca/en,VIA Rail,canada.ca/dept.html,,,
Windsor-Detroit Bridge Authority,https://www.gordiehoweinternationalbridge.com/en,WDBA,canada.ca/dept.html,,,
Youth,https://www.canada.ca/en/youth.html,YOUTH,canada.ca/dept.html,,,
Canada Water Agency,https://www.canada.ca/en/canada-water-agency.html,CWA,canada.ca/dept.html,,,
Administrative Tribunals Support Services of Canada,https://www.canada.ca/en/administrative-tribunals-support-service/transparency/info-source.html,A,tbs:info-source:list-institutions,,,
Agriculture and Agri-Food Canada,http://agriculture.canada.ca/eng/about-us/offices-and-locations/access-to-information-and-privacy-services/info-source-2016/?id=1347308413430,A,tbs:info-source:list-institutions,,,
Asia Pacific Foundation of Canada,https://www.asiapacific.ca/about-us/transparency/info-source,A,tbs:info-source:list-institutions,,,
Atlantic Canada Opportunities Agency,https://www.canada.ca/en/atlantic-canada-opportunities/corporate/transparency/infosourceintroduction.html,A,tbs:info-source:list-institutions,,,
Atlantic Pilotage Authority,https://www.atlanticpilotage.com/reports/access-to-information-and-privacy/info-source/,A,tbs:info-source:list-institutions,,,
Atomic Energy of Canada Limited,https://www.aecl.ca/access-to-information-and-privacy-acts/info-source/,A,tbs:info-source:list-institutions,,,
Bank of Canada,http://www.bankofcanada.ca/about/contact-information/atip/info-source/,B,tbs:info-source:list-institutions,,,
Belledune Port Authority,http://www.portofbelledune.ca/infoSource.php,B,tbs:info-source:list-institutions,,,
British Columbia Treaty Commission,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/information-about-programs-information-holdings/british-columbia-treaty-commission.html,B,tbs:info-source:list-institutions,,,
Business Development Bank of Canada,http://www.bdc.ca/en/transparency/Pages/infosource.aspx,B,tbs:info-source:list-institutions,,,
Canada Border Services Agency,http://www.cbsa-asfc.gc.ca/agency-agence/reports-rapports/pia-efvp/atip-aiprp/infosource-eng.html,C,tbs:info-source:list-institutions,,,
Canada Council for the Arts,http://canadacouncil.ca/about/public-accountability/info-source,C,tbs:info-source:list-institutions,,,
Canada Deposit Insurance Corporation,http://www.cdic.ca/en/about-cdic/policies-reports/atip/Pages/infosource.aspx,C,tbs:info-source:list-institutions,,,
Canada Development Investment Corporation,https://www.cdev.gc.ca/info-source/canada-development-investment-corporation/,C,tbs:info-source:list-institutions,,,
Canada Eldor Inc.,https://www.cdev.gc.ca/info-source/canada-eldor-inc/,C,tbs:info-source:list-institutions,,,
Canada Hibernia Holding Corporation,https://www.cdev.gc.ca/info-source/canada-hibernia-holding-corporation/,C,tbs:info-source:list-institutions,,,
Canada TMP Finance Ltd.,https://www.cdev.gc.ca/info-source/,C,tbs:info-source:list-institutions,,,
Canada Economic Development for Quebec Regions,http://www.dec-ced.gc.ca/eng/disclosure/info-source/index.html,C,tbs:info-source:list-institutions,,,
Canada Energy Regulator,https://www.cer-rec.gc.ca/en/about/open-government/transparency/completed-access-information-requests/info-source.html,C,tbs:info-source:list-institutions,,,
Canada Foundation for Innovation,https://www.innovation.ca/access-information-privacy/information-holdings,C,tbs:info-source:list-institutions,,,
Canada Infrastructure Bank,https://cdn.cib-bic.ca/files/Governance/Info-Source-CIB-2021.pdf,C,tbs:info-source:list-institutions,,,
Canada Lands Company Limited,https://www.clc-sic.ca/info-source,C,tbs:info-source:list-institutions,,,
Canada Lands Company CLC Limited,http://en.clc.ca/info-source,C,tbs:info-source:list-institutions,,,
Old Port of Montreal Corporation Inc,https://www.oldportcorporation.com/sites/default/files/inline-files/opmc-infosource-updated-2020.pdf,C,tbs:info-source:list-institutions,,,
Parc Downsview Park Inc.,https://en.downsviewpark.ca/reporting,C,tbs:info-source:list-institutions,,,
Canada Mortgage and Housing Corporation,https://assets.cmhc-schl.gc.ca/sites/cmhc/about-cmhc/corporate-reporting/transparency/access-to-information-and-privacy-protection/info-source-2021-en.pdf?rev=142d8e70-828e-48ef-8df7-f8f3098fbe4c,C,tbs:info-source:list-institutions,,,
Canada Post,https://www.canadapost.ca/cpc/en/our-company/about-us/transparency-and-trust/access-to-information.page,C,tbs:info-source:list-institutions,,,
Canada Revenue Agency,https://www.canada.ca/en/revenue-agency/corporate/about-canada-revenue-agency-cra/access-information-privacy-canada-revenue-agency/information-programs-information-holdings-sources-federal-government-employee-information.html,C,tbs:info-source:list-institutions,,,
Canada School of Public Service,https://csps-efpc.gc.ca/About_Us/currentreport/programs-holdings-eng.aspx,C,tbs:info-source:list-institutions,,,
Canada-Newfoundland and Labrador Offshore Petroleum Board,https://www.cnlopb.ca/information/infosource/,C,tbs:info-source:list-institutions,,,
Canada-Nova Scotia Offshore Petroleum Board,https://www.cnsopb.ns.ca/sites/default/files/resource/infosource_self_publishing_eng.pdf,C,tbs:info-source:list-institutions,,,
Canadian Air Transport Security Authority,https://www.catsa-acsta.gc.ca/sites/default/files/2021_infosourcechapter.pdf,C,tbs:info-source:list-institutions,,,
Canadian Broadcasting Corporation,https://cbc.radio-canada.ca/en/impact-and-accountability/access-to-information/infosource,C,tbs:info-source:list-institutions,,,
Canadian Centre for Occupational Health and Safety,http://www.ccohs.ca/ccohs/reports/transparency.html,C,tbs:info-source:list-institutions,,,
Canadian Commercial Corporation,https://www.ccc.ca/wp-content/uploads/2021/12/InfoSource-2021-FINAL_EN.pdf,C,tbs:info-source:list-institutions,,,
Canadian Dairy Commission,http://www.cdc-ccl.gc.ca/CDC/index-eng.php?id=4141,C,tbs:info-source:list-institutions,,,
Canadian Food Inspection Agency,http://www.inspection.gc.ca/about-the-cfia/accountability/other-activities/atip/info-source/eng/1388355218800/1388355393470,C,tbs:info-source:list-institutions,,,
